Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
9/12/2016 6:10:05 AM,Med Annex2,Accepted Online,2020,Med Student 566
9/12/2016 7:07:14 AM,MED #8 KL,Accepted Online,2019,Med Student 370
9/12/2016 7:45:15 AM,Med Annex2,Accepted Online,2020,Med Student 476
9/12/2016 7:47:39 AM,Med Annex2,Accepted Online,2020,Med Student 478
9/12/2016 8:10:20 AM,MED #8 KL,Accepted Online,2019,Med Student 370
9/12/2016 8:21:07 AM,Med Annex1,Accepted Online,2020,Med Student 456
9/12/2016 8:41:39 AM,Med #1 KL,Accepted Online,2017,Med Student 127
9/12/2016 8:41:55 AM,MED #3 KL,Accepted Online,2017,Med Student 127
9/12/2016 8:47:31 AM,MED #3 KL,Accepted Online,2017,Med Student 127
9/12/2016 8:52:09 AM,Med Annex1,Accepted Online,2020,Med Student 456
9/12/2016 8:58:21 AM,MED #9 KL,Accepted Online,2019,Med Student 366
9/12/2016 9:15:25 AM,MED #8 KL,Accepted Online,2019,Med Student 370
9/12/2016 9:17:12 AM,MED #8 KL,Accepted Online,2019,Med Student 370
9/12/2016 9:35:37 AM,Med Annex1,Accepted Online,2019,Med Student 366
9/12/2016 9:41:03 AM,Med Annex2,Accepted Online,2019,Med Student 437
9/12/2016 9:49:30 AM,Med Annex2,Accepted Online,{null},{null}
9/12/2016 9:58:46 AM,Med Annex2,Accepted Online,{null},{null}
9/12/2016 9:59:26 AM,MED #9 KL,Accepted Online,2019,Med Student 366
9/12/2016 10:05:18 AM,MED #8 KL,Accepted Online,{null},Staff
9/12/2016 10:12:39 AM,MED #4 KL,Accepted Online,{null},Staff
9/12/2016 10:55:33 AM,Med Annex2,Accepted Online,2019,Med Student 325
9/12/2016 10:58:54 AM,Med Annex2,Accepted Online,2019,Med Student 404
9/12/2016 11:02:20 AM,Med Annex2,Accepted Online,2020,Med Student 536
9/12/2016 11:04:27 AM,Med Annex1,Accepted Online,2020,Med Student 536
9/12/2016 11:04:52 AM,Med Annex1,Accepted Online,2020,Med Student 454
9/12/2016 11:05:30 AM,Med Annex1,Accepted Online,2020,Med Student 489
9/12/2016 11:09:19 AM,Med Annex2,Accepted Online,2020,Med Student 510
